run_id,AnnLassoClassifierl0,AnnLassoClassifierl1,baseline error
0,"([7, 23], 0.911504424778761)","([7, 20, 21, 27], 0.9557522123893806)",0.5752212389380531
1,"([7, 20, 21], 0.9385964912280702)","([7, 20, 21, 27], 0.956140350877193)",0.631578947368421
2,"([23, 27], 0.9649122807017544)","([7, 20, 21, 27], 0.9649122807017544)",0.6491228070175439
3,"([23, 27], 0.9298245614035088)","([7, 20, 21, 27], 0.9649122807017544)",0.6140350877192983
4,"([20, 27], 0.956140350877193)","([7, 20, 21, 27], 0.956140350877193)",0.6052631578947368
5,"([20, 24], 0.9210526315789473)","([7, 20, 21, 27], 0.9298245614035088)",0.6052631578947368
6,"([7, 20, 21], 0.9035087719298246)","([7, 20, 21, 27], 0.9035087719298246)",0.5789473684210527
7,"([20, 21, 27], 0.9649122807017544)","([7, 20, 21, 27], 0.9649122807017544)",0.6491228070175439
8,"([13, 27], 0.956140350877193)","([7, 20, 21, 27], 0.9912280701754386)",0.7017543859649122
9,"([20, 27], 0.9210526315789473)","([7, 20, 21, 27], 0.9473684210526315)",0.6491228070175439
10,"([20, 27], 0.9385964912280702)","([7, 20, 21, 22, 27], 0.9736842105263158)",0.6403508771929824
11,"([20, 27], 0.9298245614035088)","([7, 20, 21, 27], 0.9122807017543859)",0.5877192982456141
12,"([20, 27], 0.9210526315789473)","([20, 21, 22, 27], 0.9210526315789473)",0.5614035087719298
13,"([20, 27], 0.9385964912280702)","([7, 20, 21, 27], 0.9649122807017544)",0.6929824561403509
14,"([20, 27], 0.9385964912280702)","([7, 20, 21, 27], 0.9473684210526315)",0.6140350877192983
15,"([23, 27], 0.9473684210526315)","([7, 20, 21, 22, 27], 0.9649122807017544)",0.7368421052631579
16,"([20, 27], 0.9210526315789473)","([7, 20, 21, 27], 0.956140350877193)",0.6491228070175439
17,"([20, 27], 0.956140350877193)","([7, 20, 21, 27], 0.9385964912280702)",0.5350877192982456
18,"([20, 27], 0.956140350877193)","([7, 20, 21, 27], 0.9736842105263158)",0.6578947368421053
19,"([20, 27], 0.9473684210526315)","([7, 20, 21, 27], 0.956140350877193)",0.6578947368421053
20,"([20, 27], 0.9736842105263158)","([7, 10, 20, 21, 27], 0.9824561403508771)",0.6403508771929824
21,"([23, 27], 0.9203539823008849)","([7, 20, 21, 27], 0.9380530973451328)",0.6017699115044248
22,"([23, 27], 0.9385964912280702)","([7, 20, 21, 27], 0.9298245614035088)",0.631578947368421
23,"([20, 27], 0.9385964912280702)","([7, 20, 21, 27], 0.9473684210526315)",0.6578947368421053
24,"([20, 27], 0.9473684210526315)","([7, 20, 21, 22, 27], 0.956140350877193)",0.6403508771929824
25,"([20, 27], 0.956140350877193)","([7, 20, 21, 27], 0.956140350877193)",0.6403508771929824
26,"([20, 27], 0.9473684210526315)","([7, 20, 21, 27], 0.956140350877193)",0.6228070175438597
27,"([20, 27], 0.9473684210526315)","([7, 20, 21, 27], 0.9473684210526315)",0.5877192982456141
28,"([20, 27], 0.9292035398230089)","([7, 20, 21, 27], 0.9469026548672567)",0.6194690265486725
29,"([20, 21, 27], 0.956140350877193)","([7, 20, 21, 22, 27], 0.9473684210526315)",0.6491228070175439
30,"([20, 27], 0.8947368421052632)","([7, 20, 21, 27], 0.8947368421052632)",0.6052631578947368
31,"([20, 27], 0.9473684210526315)","([7, 20, 21, 22, 27], 0.9473684210526315)",0.6578947368421053
32,"([23, 27], 0.9473684210526315)","([7, 20, 21, 27], 0.9385964912280702)",0.6578947368421053
33,"([20, 27], 0.9385964912280702)","([7, 20, 21, 27], 0.9473684210526315)",0.6491228070175439
34,"([23, 27], 0.9385964912280702)","([7, 20, 21, 27], 0.9473684210526315)",0.6666666666666666
35,"([20, 27], 0.9649122807017544)","([7, 20, 21, 27], 0.9473684210526315)",0.5789473684210527
36,"([20, 27], 0.9736842105263158)","([6, 7, 20, 21, 22, 26, 27], 0.9385964912280702)",0.6842105263157895
37,"([20, 27], 0.9385964912280702)","([7, 20, 21, 27], 0.956140350877193)",0.6403508771929824
38,"([20, 27], 0.9298245614035088)","([7, 20, 21, 27], 0.956140350877193)",0.6929824561403509
39,"([20, 27], 0.9649122807017544)","([7, 20, 21, 22, 27], 0.9298245614035088)",0.6666666666666666
40,"([23, 27], 0.9473684210526315)","([7, 20, 21, 27], 0.9298245614035088)",0.6140350877192983
41,"([20, 24], 0.9298245614035088)","([7, 20, 21, 27], 0.9210526315789473)",0.6052631578947368
42,"([20, 27], 0.956140350877193)","([7, 20, 21, 27], 0.9473684210526315)",0.6491228070175439
43,"([20, 27], 0.9298245614035088)","([7, 20, 21, 27], 0.956140350877193)",0.631578947368421
44,"([20, 27], 0.9298245614035088)","([7, 20, 21, 27], 0.9210526315789473)",0.5789473684210527
45,"([20, 27], 0.9298245614035088)","([7, 20, 21, 27], 0.9298245614035088)",0.6140350877192983
46,"([20, 27], 0.9473684210526315)","([7, 20, 21, 27], 0.9473684210526315)",0.6052631578947368
47,"([20, 21, 27], 0.9210526315789473)","([7, 20, 21, 27], 0.9210526315789473)",0.5964912280701754
48,"([20, 21, 27], 0.956140350877193)","([7, 20, 21, 22, 27], 0.9649122807017544)",0.5789473684210527
49,"([20, 27], 0.9823008849557522)","([7, 20, 21, 27], 0.9823008849557522)",0.6637168141592921
